序号,企业名称,省份,行业,营收(万元)
1,华为投资控股有限公司,广东省,计算机、通信和其他电子设备制造业,60362100
2,苏宁控股集团有限公司,江苏省,零售业,55787511
3,正威国际集团有限公司,广东省,有色金属冶炼和压延加工业,49179850
4,京东集团,北京市,互联网和相关服务,36233175
5,山东魏桥创业集团有限公司,山东省,有色金属冶炼和压延加工业,35957819
6,联想控股股份有限公司,北京市,计算机、通信和其他电子设备制造业,31626292
7,恒大集团有限公司,广东省,房地产业,31102200
8,国美控股集团有限公司,北京市,零售业,30935043
9,恒力集团有限公司,江苏省,化学原料和化学制品制造业,30794113
10,大商集团有限公司,辽宁省,零售业,28080516
11,浙江吉利控股集团有限公司,浙江省,汽车制造业,27826459
12,万科企业股份有限公司,广东省,房地产业,24289711
13,美的集团股份有限公司,广东省,电气机械和器材制造业,24191890
14,碧桂园控股有限公司,广东省,房地产业,22689979
15,雪松控股集团有限公司,广东省,商务服务业,22108397
16,江苏沙钢集团有限公司,江苏省,黑色金属冶炼和压延加工业,22000971
17,大连万达集团股份有限公司,辽宁省,综合,20185589
18,信发集团有限公司,山东省,有色金属冶炼和压延加工业,20083128
19,新疆广汇实业投资（集团）有限责任公司,新疆维吾尔自治区,零售业,17644044
20,阳光龙净集团有限公司,福建省,其他金融业,17305490
21,泰康保险集团股份有限公司,北京市,保险业,16260053
22,海亮集团有限公司,浙江省,有色金属冶炼和压延加工业,16259643
23,青山控股集团有限公司,浙江省,黑色金属冶炼和压延加工业,16158784
24,中南控股集团有限公司,江苏省,房地产业,15387043
25,苏宁环球集团有限公司,江苏省,房地产业,14650065
26,三胞集团有限公司,江苏省,零售业,14600354
27,新奥集团股份有限公司,河北省,燃气生产和供应业,12697000
28,新城控股集团股份有限公司,上海市,房地产业,12647216
29,中天钢铁集团有限公司,江苏省,黑色金属冶炼和压延加工业,12204388
30,小米通讯技术有限公司,北京市,综合,11462474
31,东方希望集团有限公司,上海市,有色金属冶炼和压延加工业,11440000
32,天能集团,浙江省,电气机械和器材制造业,11277583
33,TCL集团股份有限公司,广东省,计算机、通信和其他电子设备制造业,11157736
34,海澜集团有限公司,江苏省,纺织服装、服饰业,10885541
35,东岭集团股份有限公司,陕西省,批发业,10812595
36,浙江荣盛控股集团有限公司,浙江省,化学纤维制造业,10663705
37,比亚迪股份有限公司,广东省,汽车制造业,10591470
38,盛虹控股集团有限公司,江苏省,纺织业,10501949
39,南通三建控股有限公司,江苏省,房地产业,10478217
40,浙江恒逸集团有限公司,浙江省,化学纤维制造业,10470453
41,超威集团,浙江省,电气机械和器材制造业,10368301
42,河北津西钢铁集团股份有限公司,河北省,黑色金属冶炼和压延加工业,10090231
43,上海均和集团有限公司,上海市,综合,9997329
44,西安迈科金属国际集团有限公司,陕西省,批发业,9893701
45,阳光保险集团股份有限公司,广东省,保险业,9647210
46,正荣集团有限公司,福建省,房地产业,9602612
47,山东东明石化集团有限公司,山东省,石油加工、炼焦和核燃料加工业,9063466
48,腾邦集团有限公司,广东省,综合,8988264
49,复星国际有限公司,上海市,综合,8802516
50,山东晨鸣纸业集团股份有限公司,山东省,造纸和纸制品业,8702236
51,杭州锦江集团有限公司,浙江省,有色金属冶炼和压延加工业,8553673
52,百度公司,北京市,互联网和相关服务,8480941
53,北京建龙重工集团有限公司,北京市,黑色金属冶炼和压延加工业,8433340
54,万达控股集团有限公司,山东省,石油加工、炼焦和核燃料加工业,8361646
55,新华联集团有限公司,湖南省,综合,8337797
56,福中集团有限公司,江苏省,综合,8273165
57,广厦控股集团有限公司,浙江省,房屋建筑业,8048522
58,福晟集团有限公司,福建省,综合,8010873
59,日照钢铁控股集团有限公司,山东省,黑色金属冶炼和压延加工业,7989090
60,内蒙古伊泰集团有限公司,内蒙古自治区,煤炭开采和洗选业,7881841
61,银亿集团有限公司,浙江省,批发业,7830148
62,亨通集团有限公司,江苏省,计算机、通信和其他电子设备制造业,7802628
63,山东大海集团有限公司,山东省,综合,7787142
64,中天控股集团有限公司,浙江省,房屋建筑业,7642768
65,中融新大集团有限公司,山东省,装卸搬运和运输代理业,7533168
66,利华益集团股份有限公司,山东省,石油加工、炼焦和核燃料加工业,7501836
67,宁夏天元锰业集团有限公司,宁夏回族自治区,有色金属冶炼和压延加工业,7400594
68,九州通医药集团股份有限公司,湖北省,批发业,7394289
69,上海钢联电子商务股份有限公司,上海市,互联网和相关服务,7369705
70,河北新华联合冶金控股集团有限公司,河北省,黑色金属冶炼和压延加工业,7362531
71,华泰集团有限公司,山东省,造纸和纸制品业,7301169
72,新希望集团有限公司,四川省,农、林、牧、渔服务业,7299781
73,江阴澄星实业集团有限公司,江苏省,化学原料和化学制品制造业,7237863
74,龙湖集团控股有限公司,重庆市,房地产业,7207504
75,深圳顺丰泰森控股(集团)有限公司,广东省,邮政业,7109430
76,宁波金田投资控股有限公司,浙江省,有色金属冶炼和压延加工业,7059927
77,重庆市金科投资控股（集团）有限责任公司,重庆市,其他金融业,7058643
78,扬子江药业集团有限公司,江苏省,医药制造业,7008812
79,卓尔控股有限公司,湖北省,综合,6986924
80,唯品会（中国）有限公司,广东省,零售业,6892996
81,深圳市怡亚通供应链股份有限公司,广东省,商务服务业,6861704
82,内蒙古伊利实业集团股份有限公司,内蒙古自治区,食品制造业,6805817
83,敬业集团有限公司,河北省,黑色金属冶炼和压延加工业,6746750
84,融信（福建）投资集团有限公司,福建省,房地产业,6672565
85,雅戈尔集团股份有限公司,浙江省,纺织服装、服饰业,6654041
86,正邦集团有限公司,江西省,农业,6635299
87,天津荣程联合钢铁集团有限公司,天津市,黑色金属冶炼和压延加工业,6604932
88,奥克斯集团有限公司,浙江省,电气机械和器材制造业,6493012
89,修正药业集团,吉林省,医药制造业,6376270
90,传化集团有限公司,浙江省,化学原料和化学制品制造业,6317160
91,三一集团有限公司,湖南省,专用设备制造业,6268825
92,通威集团有限公司,四川省,农副食品加工业,6261031
93,杭州滨江房产集团股份有限公司,浙江省,房地产业,6150000
94,红豆集团有限公司,江苏省,纺织服装、服饰业,6033816
95,正泰集团股份有限公司,浙江省,电气机械和器材制造业,6017696
96,青建集团股份公司,山东省,房屋建筑业,6008048
97,华夏幸福基业股份有限公司,河北省,房地产业,5963542
98,广州富力地产股份有限公司,广东省,房地产业,5927785
99,天安人寿保险股份有限公司,北京市,保险业,5877860
100,永辉超市股份有限公司,福建省,零售业,5859134
101,江苏南通二建集团有限公司,江苏省,房屋建筑业,5736659
102,山东京博控股股份有限公司,山东省,石油加工、炼焦和核燃料加工业,5700045
103,南通四建集团有限公司,江苏省,房屋建筑业,5686289
104,深圳市爱施德股份有限公司,广东省,综合,5673587
105,山东如意国际时尚产业投资控股有限公司,山东省,纺织服装、服饰业,5613106
106,山东创新金属科技有限公司,山东省,有色金属冶炼和压延加工业,5603445
107,江西方大钢铁集团有限公司,江西省,黑色金属冶炼和压延加工业,5602439
108,蓝思科技集团,湖南省,计算机、通信和其他电子设备制造业,5594430
109,广东温氏食品集团股份有限公司,广东省,畜牧业,5565716
110,隆基泰和实业有限公司,河北省,综合,5562678
111,玖龙纸业（控股）有限公司,广东省,造纸和纸制品业,5557713
112,山东海科化工集团,山东省,石油加工、炼焦和核燃料加工业,5500774
113,上海找钢网信息科技股份有限公司,上海市,互联网和相关服务,5491738
114,河北普阳钢铁有限公司,河北省,黑色金属冶炼和压延加工业,5467220
115,江苏永钢集团有限公司,江苏省,黑色金属冶炼和压延加工业,5388353
116,河南省漯河市双汇实业集团有限责任公司,河南省,农副食品加工业,5309476
117,荣盛控股股份有限公司,河北省,房地产业,5309288
118,特变电工股份有限公司,新疆维吾尔自治区,电气机械和器材制造业,5273130
119,德力西集团有限公司,浙江省,电气机械和器材制造业,5258941
120,宝塔石化集团有限公司,宁夏回族自治区,石油加工、炼焦和核燃料加工业,5247847
121,江苏三房巷集团有限公司,江苏省,化学纤维制造业,5233235
122,隆鑫控股有限公司,重庆市,通用设备制造业,5229376
123,中化弘润石油化工有限公司,山东省,石油加工、炼焦和核燃料加工业,5170543
124,东方集团有限公司,黑龙江省,综合,5161373
125,雅居乐地产置业有限公司,广东省,房地产业,5160706
126,恒信汽车集团股份有限公司,湖北省,批发业,5158068
127,稻花香集团,湖北省,酒、饮料和精制茶制造业,5156194
128,江苏省建筑工程集团有限公司,江苏省,房屋建筑业,5069325
129,浙江桐昆控股集团有限公司,浙江省,化学纤维制造业,5058084
130,江苏省苏中建设集团股份有限公司,江苏省,房屋建筑业,5056959
131,亚邦投资控股集团有限公司,江苏省,化学原料和化学制品制造业,5037379
132,双胞胎（集团）股份有限公司,江西省,农副食品加工业,5023665
133,新凤祥控股集团有限责任公司,山东省,有色金属冶炼和压延加工业,5006899
134,郑州中瑞实业集团有限公司,河南省,商务服务业,4851806
135,重庆小康控股有限公司,重庆市,汽车制造业,4834099
136,山东科达集团有限公司,山东省,土木工程建筑业,4785635
137,物美控股集团有限公司,北京市,零售业,4745218
138,俊发集团有限公司,云南省,房地产业,4710000
139,内蒙古鄂尔多斯投资控股集团有限公司,内蒙古自治区,纺织服装、服饰业,4653017
140,四川德胜集团钒钛有限公司,四川省,黑色金属冶炼和压延加工业,4651620
141,杭州娃哈哈集团有限公司,浙江省,酒、饮料和精制茶制造业,4643785
142,深圳海王集团股份有限公司,广东省,医药制造业,4623669
143,东营鲁方金属材料有限公司,山东省,有色金属冶炼和压延加工业,4583917
144,蓝光投资控股集团有限公司,四川省,房地产业,4550889
145,山东金诚石化集团有限公司,山东省,石油加工、炼焦和核燃料加工业,4513739
146,亿利资源集团有限公司,内蒙古自治区,综合,4500753
147,天津友发钢管集团股份有限公司,天津市,金属制品业,4494604
148,山东太阳控股集团有限公司,山东省,造纸和纸制品业,4490230
149,中天科技集团有限公司,江苏省,电气机械和器材制造业,4465308
150,天瑞集团股份有限公司,河南省,其他制造业,4361911
151,江苏新长江实业集团有限公司,江苏省,黑色金属冶炼和压延加工业,4357390
152,西王集团有限公司,山东省,农副食品加工业,4350599
153,华勤橡胶工业集团有限公司,山东省,橡胶和塑料制品业,4325182
154,和润集团有限公司,浙江省,食品制造业,4306026
155,重庆力帆控股有限公司,重庆市,汽车制造业,4258898
156,河南森源集团有限公司,河南省,电气机械和器材制造业,4236265
157,江苏南通六建建设集团有限公司,江苏省,房屋建筑业,4205069
158,通鼎集团有限公司,江苏省,计算机、通信和其他电子设备制造业,4182581
159,山东渤海实业股份有限公司,山东省,农副食品加工业,4170157
160,融侨集团股份有限公司,福建省,房地产业,4160000
161,江苏华宏实业集团有限公司,江苏省,化学纤维制造业,4117625
162,盘锦北方沥青燃料有限公司,辽宁省,石油加工、炼焦和核燃料加工业,4107120
163,四川科伦实业集团有限公司,四川省,医药制造业,4106113
164,山河控股集团有限公司,湖北省,房屋建筑业,4101786
165,浙江中成控股集团有限公司,浙江省,房屋建筑业,4070972
166,湖南博长控股集团有限公司,湖南省,黑色金属冶炼和压延加工业,4058828
167,人民电器集团有限公司,浙江省,电气机械和器材制造业,4034049
168,金浦投资控股集团有限公司,江苏省,化学原料和化学制品制造业,4020150
169,天合光能股份有限公司,江苏省,电气机械和器材制造业,4002655
170,冀南钢铁集团有限公司,河北省,黑色金属冶炼和压延加工业,3971613
171,山东玉皇化工有限公司,山东省,化学原料和化学制品制造业,3968785
172,创维集团有限公司,广东省,计算机、通信和其他电子设备制造业,3955878
173,广东圣丰集团有限公司,广东省,橡胶和塑料制品业,3954492
174,四川蓝润实业集团有限公司,四川省,房地产业,3952830
175,同程控股股份有限公司,江苏省,商务服务业,3945946
176,山东新希望六和集团有限公司,山东省,农副食品加工业,3930449
177,中新产业集团有限公司,浙江省,商务服务业,3922000
178,江苏中利能源控股有限公司,江苏省,电气机械和器材制造业,3920488
179,临沂新程金锣肉制品集团有限公司,山东省,农副食品加工业,3901640
180,山东金岭集团有限公司,山东省,化学原料和化学制品制造业,3888736
181,三河汇福粮油集团有限公司,河北省,农副食品加工业,3864917
182,中运富通控股集团有限公司,上海市,综合,3864403
183,武安市裕华钢铁有限公司,河北省,黑色金属冶炼和压延加工业,3863513
184,金澳科技（湖北）化工有限公司,湖北省,化学原料和化学制品制造业,3861055
185,弘阳集团有限公司,江苏省,批发业,3854291
186,山东胜通集团股份有限公司,山东省,金属制品业,3854216
187,环嘉集团有限公司,辽宁省,批发业,3838626
188,东旭集团有限公司,河北省,计算机、通信和其他电子设备制造业,3835432
189,中基宁波集团股份有限公司,浙江省,商务服务业,3798145
190,晶龙实业集团有限公司,河北省,其他制造业,3788441
191,威高集团有限公司,山东省,医药制造业,3781624
192,均和（厦门）控股有限公司,福建省,综合,3770806
193,江苏阳光集团有限公司,江苏省,纺织服装、服饰业,3738814
194,步步高集团,湖南省,零售业,3709412
195,天元建设集团有限公司,山东省,土木工程建筑业,3706550
196,东营方圆有色金属有限公司,山东省,有色金属冶炼和压延加工业,3699621
197,大汉控股集团有限公司,湖南省,商务服务业,3690237
198,郑州宇通集团有限公司,河南省,汽车制造业,3563402
199,研祥高科技控股集团有限公司,广东省,计算机、通信和其他电子设备制造业,3560817
200,江苏扬子江船业集团,江苏省,铁路、船舶、航空航天和其他运输设备制造业,3553722
201,双良集团有限公司,江苏省,金属制品、机械和设备修理业,3518421
202,华仪集团有限公司,浙江省,电气机械和器材制造业,3510126
203,华芳集团有限公司,江苏省,纺织业,3503459
204,卧龙控股集团有限公司,浙江省,电气机械和器材制造业,3475874
205,维维集团股份有限公司,江苏省,食品制造业,3471726
206,通州建总集团有限公司,江苏省,房屋建筑业,3461256
207,富通集团有限公司,浙江省,计算机、通信和其他电子设备制造业,3453862
208,武安市明芳钢铁有限公司,河北省,黑色金属冶炼和压延加工业,3428608
209,浙江宝业建设集团有限公司,浙江省,房屋建筑业,3423621
210,浙江前程投资股份有限公司,浙江省,批发业,3407529
211,法尔胜泓昇集团有限公司,江苏省,金属制品业,3403315
212,浙江富冶集团有限公司,浙江省,有色金属冶炼和压延加工业,3396477
213,远东控股集团有限公司,江苏省,综合,3389258
214,天狮集团有限公司,天津市,食品制造业,3387737
215,河北新金钢铁有限公司,河北省,黑色金属冶炼和压延加工业,3386835
216,宁波富邦控股集团有限公司,浙江省,综合,3380633
217,欧菲科技股份有限公司,广东省,计算机、通信和其他电子设备制造业,3379103
218,富海集团有限公司,山东省,石油加工、炼焦和核燃料加工业,3337975
219,红狮控股集团有限公司,浙江省,非金属矿物制品业,3330775
220,龙元建设集团股份有限公司,浙江省,房屋建筑业,3306624
221,浙江昆仑控股集团有限公司,浙江省,综合,3301926
222,山东博汇集团有限公司,山东省,化学原料和化学制品制造业,3300949
223,石横特钢集团有限公司,山东省,黑色金属冶炼和压延加工业,3300133
224,龙信建设集团有限公司,江苏省,房屋建筑业,3285745
225,金龙精密铜管集团股份有限公司,重庆市,有色金属冶炼和压延加工业,3275489
226,绿地城市建设发展集团有限公司,上海市,房屋建筑业,3260519
227,广东海大集团股份有限公司,广东省,农副食品加工业,3255663
228,山东清源集团有限公司,山东省,石油加工、炼焦和核燃料加工业,3253537
229,精功集团有限公司,浙江省,综合,3241386
230,波司登股份有限公司,江苏省,纺织服装、服饰业,3240801
231,华峰集团有限公司,浙江省,化学原料和化学制品制造业,3226386
232,龙光集团,广东省,房地产业,3218575
233,山东泰山钢铁集团有限公司,山东省,黑色金属冶炼和压延加工业,3205069
234,北京运通国融投资集团有限公司,北京市,零售业,3184520
235,荣民控股集团有限公司,陕西省,综合,3182683
236,万通海欣控股股份有限公司,山东省,石油加工、炼焦和核燃料加工业,3162744
237,乌海银行股份有限公司,内蒙古自治区,货币金融服务,3155338
238,岚桥集团有限公司,山东省,综合,3132545
239,河北新武安钢铁集团文安钢铁有限公司,河北省,黑色金属冶炼和压延加工业,3123973
240,广西盛隆冶金有限公司,广西壮族自治区,黑色金属冶炼和压延加工业,3114547
241,恒申控股集团有限公司,福建省,综合,3087620
242,浙江明日控股集团股份有限公司,浙江省,零售业,3075711
243,山东汇丰石化集团有限公司,山东省,石油加工、炼焦和核燃料加工业,3068943
244,红太阳集团有限公司,江苏省,化学原料和化学制品制造业,3068216
245,东岳集团,山东省,化学原料和化学制品制造业,3023815
246,山东九羊集团有限公司,山东省,黑色金属冶炼和压延加工业,3021936
247,文一投资控股集团,安徽省,房地产业,3011936
248,浙江新湖集团股份有限公司,浙江省,综合,3011917
249,香江集团有限公司,广东省,综合,3005700
250,包商银行股份有限公司,内蒙古自治区,货币金融服务,2997802
251,河北天山实业集团有限公司,河北省,商务服务业,2986765
252,帝海投资控股集团有限公司,北京市,房地产业,2985659
